service_id,date,exception_type
"4418_247477","20231122","1"
"4418_247477","20231123","1"
"4418_247477","20231124","1"
"4418_247477","20231125","1"
"4418_247477","20231126","1"
"4418_247477","20231127","1"
"4418_247477","20231128","1"
"4418_247477","20231129","1"
"4418_247477","20231130","1"
"4418_247477","20231201","1"
"4418_247477","20231202","1"
"4418_247477","20231203","1"
"4418_247477","20231204","1"
"4418_247477","20231205","1"
"4418_247477","20231206","1"
"4418_247477","20231207","1"
"4418_247477","20231208","1"
"4418_247477","20231209","1"
"4418_247484","20230815","1"
"4418_247488","20230821","1"
"4418_247488","20230822","1"
"4418_247488","20230823","1"
"4418_247488","20230824","1"
"4418_247488","20230825","1"
"4418_247488","20230826","1"
"4418_247488","20230828","1"
"4418_247488","20230829","1"
"4418_247488","20230830","1"
"4418_247488","20230831","1"
"4418_247488","20230901","1"
"4418_247488","20230902","1"
"4418_247491","20230621","1"
"4418_247491","20230622","1"
"4418_247491","20230623","1"
"4418_247491","20230624","1"
"4418_247491","20230626","1"
"4418_247491","20230627","1"
"4418_247491","20230628","1"
"4418_247491","20230629","1"
"4418_247491","20230630","1"
"4418_247491","20230701","1"
"4418_247491","20230703","1"
"4418_247491","20230704","1"
"4418_247491","20230705","1"
"4418_247491","20230706","1"
"4418_247491","20230707","1"
"4418_247491","20230708","1"
"4418_247491","20230710","1"
"4418_247491","20230711","1"
"4418_247491","20230712","1"
"4418_247491","20230713","1"
"4418_247491","20230714","1"
"4418_247491","20230715","1"
"4418_247491","20230717","1"
"4418_247491","20230718","1"
"4418_247491","20230719","1"
"4418_247491","20230720","1"
"4418_247491","20230721","1"
"4418_247491","20230722","1"
"4418_247491","20230724","1"
"4418_247491","20230725","1"
"4418_247491","20230726","1"
"4418_247491","20230727","1"
"4418_247491","20230728","1"
"4418_247491","20230729","1"
"4418_247491","20230731","1"
"4418_247491","20230801","1"
"4418_247491","20230802","1"
"4418_247491","20230803","1"
"4418_247491","20230804","1"
"4418_247491","20230805","1"
"4418_247491","20230807","1"
"4418_247491","20230808","1"
"4418_247491","20230809","1"
"4418_247491","20230810","1"
"4418_247491","20230811","1"
"4418_247491","20230812","1"
"4418_247491","20230814","1"
"4418_247491","20230816","1"
"4418_247491","20230817","1"
"4418_247491","20230818","1"
"4418_247491","20230819","1"
"4418_247491","20230821","1"
"4418_247491","20230822","1"
"4418_247491","20230823","1"
"4418_247491","20230824","1"
"4418_247491","20230825","1"
"4418_247491","20230826","1"
"4418_247491","20230828","1"
"4418_247491","20230829","1"
"4418_247491","20230830","1"
"4418_247491","20230831","1"
"4418_247491","20230901","1"
"4418_247491","20230902","1"
"4418_247491","20230904","1"
"4418_247491","20230905","1"
"4418_247491","20230906","1"
"4418_247491","20230907","1"
"4418_247491","20230908","1"
"4418_247491","20230909","1"
"4418_247491","20230911","1"
"4418_247491","20230912","1"
"4418_247491","20230913","1"
"4418_247491","20230914","1"
"4418_247491","20230915","1"
"4418_247491","20230916","1"
"4418_247491","20230918","1"
"4418_247491","20230919","1"
"4418_247491","20230920","1"
"4418_247491","20230921","1"
"4418_247491","20230922","1"
"4418_247491","20230923","1"
"4418_247491","20230925","1"
"4418_247491","20230926","1"
"4418_247491","20230927","1"
"4418_247491","20230928","1"
"4418_247491","20230929","1"
"4418_247491","20230930","1"
"4418_247491","20231002","1"
"4418_247491","20231003","1"
"4418_247491","20231004","1"
"4418_247491","20231005","1"
