route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
"1072814206","4418_247495","4418_297213","Prato C.Le","18836","1","3486246573"
"1072814206","4418_247495","4418_297214","Montevarchi T.","18853","0","1782938609"
"1072814206","4418_247495","4418_297215","Pistoia","18844","1","554033056"
"1072814206","4418_247504","4418_297234","Chiusi C.T.","18711","0","1688166396"
"1072814206","4418_247506","4418_297236","Chiusi C.T.","18713","0","2263529405"
"1072814206","4418_247512","4418_297262","Firenze Smn","18732","1","1072814206"
"1072814206","4418_247512","4418_297263","Arezzo","18777","0","3950891282"
"1072814206","4418_247512","4418_297264","Arezzo","18765","0","3950891282"
"1072814206","4418_247512","4418_297265","Firenze Smn","18768","1","1454796433"
"1072814206","4418_247512","4418_297266","Chiusi C.T.","18787","0","2642889090"
"1072814206","4418_247512","4418_297267","Chiusi C.T.","18775","0","2642889090"
"1072814206","4418_247512","4418_297268","Arezzo","18751","0","3950891282"
"1072814206","4418_247512","4418_297269","Firenze Smn","18752","1","1454796433"
"1072814206","4418_247512","4418_297270","Arezzo","18743","0","3950891282"
"1072814206","4418_247512","4418_297271","Arezzo","18767","0","3950891282"
"1072814206","4418_247512","4418_297272","Firenze Smn","18764","1","1454796433"
"1072814206","4418_247512","4418_297273","Firenze Smn","18782","1","1454796433"
"1072814206","4418_247512","4418_297274","Arezzo","18735","0","1875740135"
"1072814206","4418_247512","4418_297275","Arezzo","18783","0","3950891282"
"1072814206","4418_247512","4418_297276","Firenze Smn","18736","1","2510531122"
"1072814206","4418_247513","4418_297277","Firenze Smn","18784","1","3678793856"
"1072814206","4418_247513","4418_297278","Montevarchi T.","18821","0","1597347027"
"1072814206","4418_247513","4418_297279","Pratovecchio Stia","18757*92272","1","2712430871"
"1072814206","4418_247513","4418_297280","Montevarchi T.","18835","0","1613533868"
"1072814206","4418_247513","4418_297281","Firenze Smn","92257*18790","0","529409611"
"1072814206","4418_247513","4418_297282","Pistoia","18822","1","1089067205"
"1072814206","4418_247513","4418_297283","Arezzo","18731","0","4117188632"
"1072814206","4418_247513","4418_297284","Prato C.Le","18828","1","3151779105"
"1072814206","4418_247513","4418_297285","Firenze Smn","18778","1","3678793856"
"1072814206","4418_247513","4418_297286","Firenze Smn","18770","1","1454796433"
"1072814206","4418_247513","4418_297287","Arezzo","18857","0","1948186633"
"1072814206","4418_247513","4418_297288","Arezzo","18785","0","3081825772"
"1072814206","4418_247513","4418_297289","Firenze Smn","18744","1","937075659"
"1072814206","4418_247514","4418_297290","Arezzo","18781","0","3950891282"
"1072814206","4418_247516","4418_297292","Chiusi C.T.","18799","0","2642889090"
"1072814206","4418_247517","4418_297293","Firenze Smn","18760","1","15323320"
"1072814206","4418_247517","4418_297294","Arezzo","18747","0","3950891282"
"1072814206","4418_247517","4418_297295","Arezzo","18739","0","1875740135"
"1072814206","4418_247518","4418_297296","Arezzo","18791","0","3950891282"
"1072814206","4418_247520","4418_297298","Chiusi C.T.","18795","0","2642889090"
"1072814206","4418_247523","4418_297301","Arezzo","18803","0","3950891282"
"1072814206","4418_247524","4418_297302","Firenze Smn","18748","1","3610770172"
"1072814206","4418_247525","4418_297303","Arezzo","18805","0","3950891282"
"1072814206","4418_247526","4418_297304","Prato C.Le","18830","1","1193540235"
"1072814206","4418_247526","4418_297305","Figline Valdarno","18831","0","2032718670"
"1072814206","4418_247527","4418_297306","Firenze Smn","18776","1","3678793856"
"1072814206","4418_247528","4418_297307","Terontola","18720","1","3443454642"
"1072814206","4418_247530","4418_297309","Firenze Smn","18974","1","3051846041"
"1072814206","4418_247533","4418_297313","Prato C.Le","18858","1","3542035948"
"1072814206","4418_247533","4418_297314","Arezzo","18863","0","1905647453"
"1072814206","4418_247538","4418_297324","Arezzo","18847","0","2917836056"
"1072814206","4418_247538","4418_297325","Chiusi C.T.","18849","0","2356514414"
"1072814206","4418_247538","4418_297326","Pistoia","18842","1","3787024712"
"1072814206","4418_247539","4418_297327","Montevarchi T.","18855","0","603654727"
"1072814206","4418_247539","4418_297328","Montevarchi T.","18839","0","2366756254"
"1072814206","4418_247539","4418_297329","Prato C.Le","18848","1","3542035948"
"1072814206","4418_247541","4418_297332","Prato C.Le","18840","1","3542035948"
"1072814206","4418_247541","4418_297333","Montevarchi T.","18843","0","603654727"
"1072814206","4418_247543","4418_297337","Pistoia","18850","1","554033056"
"1072814206","4418_247543","4418_297338","Montevarchi T.","18833","0","3819374990"
"1072814206","4418_247543","4418_297339","Montevarchi T.","18841","0","3819374990"
"1072814206","4418_247544","4418_297340","Pistoia","18834","1","554033056"
"1072814206","4418_247544","4418_297341","Montevarchi T.","18861","0","1782938609"
"1072814206","4418_247544","4418_297342","Pistoia","18854","1","554033056"
"1072814206","4418_247544","4418_297343","Montevarchi T.","18845","0","1782938609"
"1072814206","4418_247546","4418_297345","Prato C.Le","18830","1","364197745"
"1072814206","4418_247546","4418_297346","Montevarchi T.","18831","0","1613533868"
"1072814206","4418_247547","4418_297347","Prato C.Le","18848","1","1269636653"
"1072814206","4418_247547","4418_297348","Figline Valdarno","18855","0","1499477698"
"1072814206","4418_247549","4418_297350","Vernio","18846","1","3116345749"
